team,opponent,gf,ga,match_result,head_to_head,head_to_head_goals
Arsenal,Aston Villa,0,1,-1,-1.0,0.0
Arsenal,Aston Villa,0,2,-1,-1.0,0.0
Arsenal,Bournemouth,4,0,1,1.0,4.0
Arsenal,Bournemouth,3,0,1,1.0,3.5
Arsenal,Brentford,1,0,1,1.0,1.0
Arsenal,Brentford,2,1,1,1.0,1.5
Arsenal,Brighton,2,0,1,1.0,2.0
Arsenal,Brighton,3,0,1,1.0,2.5
Arsenal,Burnley,3,1,1,1.0,3.0
Arsenal,Burnley,5,0,1,1.0,4.0
Arsenal,Chelsea,2,2,0,0.0,2.0
Arsenal,Chelsea,5,0,1,0.5,3.5
Arsenal,Crystal Palace,1,0,1,1.0,1.0
Arsenal,Crystal Palace,5,0,1,1.0,3.0
Arsenal,Everton,1,0,1,1.0,1.0
Arsenal,Everton,2,1,1,1.0,1.5
Arsenal,Fulham,2,2,0,0.0,2.0
Arsenal,Fulham,1,2,-1,-0.5,1.5
Arsenal,Liverpool,1,1,0,0.0,1.0
Arsenal,Liverpool,3,1,1,0.5,2.0
Arsenal,Luton Town,4,3,1,1.0,4.0
Arsenal,Luton Town,2,0,1,1.0,3.0
Arsenal,Manchester City,1,0,1,1.0,1.0
Arsenal,Manchester City,0,0,0,0.5,0.5
Arsenal,Manchester United,3,1,1,1.0,3.0
Arsenal,Manchester United,1,0,1,1.0,2.0
Arsenal,Newcastle Unitetd,0,1,-1,-1.0,0.0
Arsenal,Newcastle Unitetd,4,1,1,0.0,2.0
Arsenal,Nottingham Forest,2,1,1,1.0,2.0
Arsenal,Nottingham Forest,2,1,1,1.0,2.0
Arsenal,Sheffield Utd,5,0,1,1.0,5.0
Arsenal,Sheffield Utd,6,0,1,1.0,5.5
Arsenal,Tottenham Hotspur,2,2,0,0.0,2.0
Arsenal,Tottenham Hotspur,3,2,1,0.5,2.5
Arsenal,West Ham United,0,2,-1,-1.0,0.0
Arsenal,West Ham United,6,0,1,0.0,3.0
Arsenal,Wolverhampton,2,1,1,1.0,2.0
Arsenal,Wolverhampton,2,0,1,1.0,2.0
Aston Villa,Arsenal,1,0,1,1.0,1.0
Aston Villa,Arsenal,2,0,1,1.0,1.5
Aston Villa,Bournemouth,2,2,0,0.0,2.0
Aston Villa,Bournemouth,3,1,1,0.5,2.5
Aston Villa,Brentford,2,1,1,1.0,2.0
Aston Villa,Brentford,3,3,0,0.5,2.5
